id;title;description;publication_date;price
1;Table Fish;Dynamic programming;2022-08-08;32786
2;Bahrain Principal;radical Configuration Director;2022-08-08;45797
3;Pass;Borders Sudan Mall;2022-08-08;96215
4;interfaces auxiliary Pula;Paradigm Optimization calculating;2022-08-07;14541
5;Alaska Soft FTP;Georgia Generic;2022-08-07;16847
6;bus;cross-platform;2022-08-07;78128
7;Berkshire Jordanian application;turn-key Soft;2022-08-07;83632
8;Club architectures;generate Ports syndicate;2022-08-08;11906
9;e-business indigo Account;Sweden Personal programming;2022-08-07;341
10;Developer;Future-proofed;2022-08-08;93660
